complaint_text,category,priority
teacher does not respond to emails even after several days,Academics / Faculty,Medium
there should be a live tracker for the university bus no one has responded yet,Transport,Low
admin should clearly display how long each process takes,Administration,Low
my final year project file saved on the library computer was completely wiped please help,Library,High
the canteen is very unhygienic tables are never wiped between customers,Cafeteria / Food,Medium
the exam portal crashed during my online test and my answers were lost please look into this,IT / Portal,High
there is raw sewage overflowing in the hostel bathroom area please look into this,Hostel,High
the forms at the admin office are outdated and confusing please look into this,Administration,Low
i heard some students making fun of a disabled student and nobody said anything this needs to be fixed,Harassment,Low
i am being blackmailed by a senior student and i dont know what to do this needs to be fixed,Harassment,High
my account got hacked and someone changed my password i cant login please help,IT / Portal,High
the portal logs out automatically even during active use this needs to be fixed,IT / Portal,Low
the lights in the hostel corridor have been broken for 5 days it has been ignored for too long,Hostel,Medium
i was suspended from class without any warning or proper reason given,Academics / Faculty,High
the portal design is very confusing and hard to navigate no one has responded yet,IT / Portal,Low
portal is down and i cant submit my assignment the deadline is today it has been ignored for too long,IT / Portal,High
my final result shows fail but i passed all my assessments no one has responded yet,Academics / Faculty,High
the font on the portal is too small and hard to read kindly resolve this,IT / Portal,Low
the canteen near block b is always closed even during official hours it has been ignored for too long,Cafeteria / Food,Medium
there is no clear process explained for how to appeal an exam result,Administration,Medium
there should be a dedicated quiet study area in the hostel,Hostel,Low
library staff are not helpful when students ask for assistance finding books no one has responded yet,Library,Medium
seating in the cafeteria is not enough students have to eat standing please look into this,Cafeteria / Food,Medium
the hostel guest sign in process takes too long please look into this,Hostel,Low
hi the van service was reduced from 3 trips to 1 without telling anyone,Transport,Medium
more charging points are needed in the library i need help with this,Library,Low
hi the mid term results were never announced and exams are next week,Academics / Faculty,Medium
hi the admin office should have a separate window for urgent requests,Administration,Low
i am being blackmailed by a senior student and i dont know what to do kindly resolve this,Harassment,High
class starts on time but the room is always locked and we have to wait outside no one has responded yet,Academics / Faculty,Low
urgent the bus has no working seatbelts and students are at risk,Transport,High
some students make inappropriate jokes in class and the teacher ignores it,Harassment,Low
lecture slides are uploaded after the class not before which is not helpful no one has responded yet,Academics / Faculty,Medium
the book search system in the library is confusing to use please help,Library,Low
teacher is not available during office hours when students need help,Academics / Faculty,Medium
there should be a clear list of required documents displayed at the office it has been ignored for too long,Administration,Low
urgent i was marked as expelled by mistake and i have not been to any hearing,Administration,High
there should be a mobile app for the student portal please help,IT / Portal,Low
my course enrollment shows errors but admin says they cant fix it now i need help with this,Administration,Medium
hostel room was given to two students and there is a conflict please help,Hostel,Medium
a student in my hostel is threatening me and the warden is not helping no one has responded yet,Hostel,High
the exam portal crashed during my online test and my answers were lost i need help with this,IT / Portal,High
the portal is not opening at all and my project submission closes in 2 hours no one has responded yet,IT / Portal,High
i enrolled in the wrong section by mistake and cant change it please help,IT / Portal,Medium
i was suspended from class without any warning or proper reason given please look into this,Academics / Faculty,High
a student vomited after eating from the cafeteria and went to hospital please help,Cafeteria / Food,High
students should be allowed to have a small personal fridge in the room i need help with this,Hostel,Low
i submitted my assignment but the portal shows it as missing please look into this,IT / Portal,Medium
it would help if bus cancellations were announced on the portal i need help with this,Transport,Low
bus timings during exams were changed and students missed the paper this needs to be fixed,Transport,Medium
the library roof is leaking badly and water is falling on books and computers this needs to be fixed,Library,High
the library system deleted all my saved research and thesis deadline is tomorrow please look into this,Library,High
the bus has no working seatbelts and students are at risk please help,Transport,High
i keep being told to come back tomorrow every time i visit the office please help,Administration,Medium
i feel discriminated against by a teacher based on where i am from it has been ignored for too long,Harassment,Medium
hi the bus is always too full and students are left behind at the stop,Transport,Medium
study room booking in the library is very unfair some groups book all day it has been ignored for too long,Library,Medium
my enrollment was cancelled without any warning and i found out from a friend this needs to be fixed,Administration,High
hi i was marked as expelled by mistake and i have not been to any hearing,Administration,High
there has been no electricity in my hostel block for 2 days no one has responded yet,Hostel,High
curfew rules in the hostel are different for different students unfairly no one has responded yet,Hostel,Medium
the bus timings should be adjusted to match the late class schedules,Transport,Low
teacher should use more examples to explain difficult topics kindly resolve this,Academics / Faculty,Low
my group members are excluding me from everything and not sharing project work this needs to be fixed,Harassment,Medium
portal is down and i cant submit my assignment the deadline is today please help,IT / Portal,High
portal is down and i cant submit my assignment the deadline is today kindly resolve this,IT / Portal,High
the hostel rules should be clearly posted somewhere visible,Hostel,Low
hi a teacher shared the exam paper with some students before the test,Academics / Faculty,High
the library closes 30 minutes early and students with late classes cant use it,Library,Medium
i got locked out of my account and the reset email is not coming please look into this,IT / Portal,High
teacher hasnt returned our assignments for over a week this needs to be fixed,Academics / Faculty,Medium
a teacher threatened to fail me if i told anyone what he said to me please help,Harassment,High
the course outline on the portal does not match what is being taught i need help with this,Academics / Faculty,Low
teacher covers too much in one class and does not check if we understand please help,Academics / Faculty,Medium
portal is down and i cant submit my assignment the deadline is today please look into this,IT / Portal,High
my friend has a nut allergy and the food was mislabeled and she had a reaction please help,Cafeteria / Food,High
i was suspended wrongly and the admin office is not responding to my emails no one has responded yet,Administration,High
a teacher is giving better marks to students he likes and ignoring the rest of us no one has responded yet,Harassment,Medium
the payment portal is showing my fees as unpaid even though i paid yesterday please help,IT / Portal,High
the library was locked during announced open hours and students had no access no one has responded yet,Library,High
portal has been down since 3 days and i cant check my timetable it has been ignored for too long,IT / Portal,Medium
someone is spreading false rumors about me in the department,Harassment,Medium
the deadline for document submission was not announced and i missed it please help,Administration,Medium
there should be a mobile app for the student portal kindly resolve this,IT / Portal,Low
hi there is no way to track the status of a complaint on the portal,IT / Portal,Low
urgent the library was locked during announced open hours and students had no access,Library,High
i keep being told to come back tomorrow every time i visit the office no one has responded yet,Administration,Medium
urgent found a cockroach inside my food at the canteen,Cafeteria / Food,High
the bus driver does not wait even 1 minute if students are slightly late i need help with this,Transport,Medium
the bus is always too full and students are left behind at the stop i need help with this,Transport,Medium
the bus driver doesnt announce stops so new students get confused i need help with this,Transport,Low
a teacher shared the exam paper with some students before the test no one has responded yet,Academics / Faculty,High
search on the portal is not useful it never finds what i need this needs to be fixed,IT / Portal,Low
we are being tested on topics that were never taught in class,Academics / Faculty,Medium
the brakes of the university van made a loud noise and felt like they failed,Transport,High
hi i was accused of cheating but i didnt cheat and no investigation was done,Academics / Faculty,High
more charging points are needed in the library please help,Library,Low
our teacher is always 20 to 30 minutes late to every class,Academics / Faculty,Medium
my hostel room was given to someone else while my stuff was still in it this needs to be fixed,Hostel,Medium
admin office lost my original certificates that i submitted last month this needs to be fixed,Administration,High
a student collapsed in the hostel and there was no first aid available this needs to be fixed,Hostel,High
my account got hacked and someone changed my password i cant login no one has responded yet,IT / Portal,High
urgent the fire alarm in the hostel has never worked since i moved in,Hostel,High
i cant upload my assignment the file size limit is too low no one has responded yet,IT / Portal,Medium
lecture slides have very small text and are hard to read i need help with this,Academics / Faculty,Low
i received racist abuse from a classmate and when i reported it nothing happened please look into this,Harassment,High
i keep being told to come back tomorrow every time i visit the office,Administration,Medium
i reported bullying last week but no one has followed up with me i need help with this,Harassment,Medium
the admin office never replies to emails or picks up the phone i need help with this,Administration,Medium
the waiting area in the admin office has no chairs i need help with this,Administration,Low
cafeteria closes 30 minutes early and students with late classes go hungry i need help with this,Cafeteria / Food,Medium
the driver drives through red signals and students are scared to speak up it has been ignored for too long,Transport,High
i cant upload my assignment the file size limit is too low,IT / Portal,Medium
urgent someone else is logged into my student account and i dont know how,IT / Portal,High
notifications on the portal are not working so i keep missing announcements it has been ignored for too long,IT / Portal,Medium
the portal should show which assignments have been graded already kindly resolve this,IT / Portal,Low
my account got hacked and someone changed my password i cant login this needs to be fixed,IT / Portal,High
my assignment marks were given to the wrong student in the system please look into this,Academics / Faculty,High
urgent my account got hacked and someone changed my password i cant login,IT / Portal,High
the bus driver doesnt announce stops so new students get confused no one has responded yet,Transport,Low
a female student was harassed by the van driver and she is scared i need help with this,Transport,High
search on the portal is not useful it never finds what i need please help,IT / Portal,Low
the portal keeps saying session expired even when i just logged in this needs to be fixed,IT / Portal,Medium
same food is being served every day for the past week kindly resolve this,Cafeteria / Food,Medium
the meat served today smelled bad and looked discolored please help,Cafeteria / Food,High
the portal keeps saying session expired even when i just logged in no one has responded yet,IT / Portal,Medium
the exam portal crashed during my online test and my answers were lost please help,IT / Portal,High
more variety of books related to our new courses should be added,Library,Low
a student was threatened by the driver when she complained about his driving,Transport,High
hi a teacher is forcing students to buy his own book or he deducts marks,Academics / Faculty,High
the bus driver doesnt announce stops so new students get confused this needs to be fixed,Transport,Low
the cafeteria menu should have more variety i need help with this,Cafeteria / Food,Low
attendance on the portal doesnt match what the teacher marked no one has responded yet,IT / Portal,Medium
it would be helpful if the portal showed assignment deadlines on the home page i need help with this,IT / Portal,Low
some seniors talk down to juniors and it creates a bad environment please help,Harassment,Low
the driver was clearly not well and was driving in a dangerous manner,Transport,High
the canteen near block b is always closed even during official hours i need help with this,Cafeteria / Food,Medium
office hours should be extended at least during exam registration period it has been ignored for too long,Administration,Low
portal has been down since 3 days and i cant check my timetable please look into this,IT / Portal,Medium
the lighting in some parts of the library is too dim please help,Library,Low
office hour timings are not posted anywhere in the department no one has responded yet,Academics / Faculty,Low
mold is growing on the walls of my hostel room and i have breathing problems kindly resolve this,Hostel,High
i submitted my assignment but the portal shows it as missing,IT / Portal,Medium
i heard some students making fun of a disabled student and nobody said anything,Harassment,Low
my login is being used from another device and i never shared my password kindly resolve this,IT / Portal,High
my final year project file saved on the library computer was completely wiped,Library,High
hi office hours should be extended at least during exam registration period,Administration,Low
there should be a suggestion box at the cafeteria for feedback,Cafeteria / Food,Low
the bus stop near the hostel has no shade or shelter it has been ignored for too long,Transport,Low
the bus should have a designated seat for students with disabilities it has been ignored for too long,Transport,Low
the schedule shown at the stop does not match the actual timings please look into this,Transport,Medium
the meat served today smelled bad and looked discolored it has been ignored for too long,Cafeteria / Food,High
a grab and go option would be useful for students between classes it has been ignored for too long,Cafeteria / Food,Low
a classmate records me during lectures without my knowledge or permission please help,Harassment,Medium
it would be helpful if the portal showed assignment deadlines on the home page it has been ignored for too long,IT / Portal,Low
urgent the bus left students stranded in the rain at night with no communication,Transport,High
a female student was touched inappropriately by a staff member in the corridor please look into this,Harassment,High
it would help if admin sent updates when documents are ready for pickup it has been ignored for too long,Administration,Low
hi the lms keeps logging me out every few minutes,IT / Portal,Medium
ac in the university bus has not worked for a week,Transport,Medium
it would be nice if the teacher held an extra revision session before exams kindly resolve this,Academics / Faculty,Low
urgent a female student was touched inappropriately by a staff member in the corridor,Harassment,High
more power sockets are needed in the hostel rooms kindly resolve this,Hostel,Low
my grade correction request has been pending for over a week need help,Administration,Medium
the lms keeps logging me out every few minutes,IT / Portal,Medium
the system wrongly submitted an empty file instead of my actual assignment no one has responded yet,IT / Portal,High
a small study table in each hostel room would be very helpful i need help with this,Hostel,Low
a complaint or feedback option for transport would be useful i need help with this,Transport,Low
students in the common room are very loud and disrespectful to others no one has responded yet,Harassment,Low
it would help if teacher gave feedback on assignments not just a grade it has been ignored for too long,Academics / Faculty,Low
urgent there is toxic mold in the library reading room and students are coughing,Library,High
hi the bus broke down at night in an empty area and we were stranded,Transport,High
the system wrongly submitted an empty file instead of my actual assignment please look into this,IT / Portal,High
hi no hot water in the hostel for the past 4 days,Hostel,Medium
hi applied for my transcript 2 weeks ago and still havent received it,Administration,Medium
admin office is only open for 2 hours a day which is very inconvenient,Administration,Medium
hi the notice board at the admin block is never updated,Administration,Low
hi i cant register for finals because the system keeps showing an error,IT / Portal,High
there is no water in the hostel since yesterday and we cant even wash please help,Hostel,High
teacher should share a reading list at the start of the course please help,Academics / Faculty,Low
the library should offer headphone rentals for students i need help with this,Library,Low
i missed a job application because the admin office delayed my transcript for 3 weeks,Administration,High
i ate from the cafeteria and got food poisoning i am in the medical room now kindly resolve this,Cafeteria / Food,High
the library notice board is very cluttered and hard to read i need help with this,Library,Low
a student collapsed in the hostel and there was no first aid available it has been ignored for too long,Hostel,High
ac in the university bus has not worked for a week no one has responded yet,Transport,Medium
there should be a dedicated quiet study area in the hostel please look into this,Hostel,Low
i feel discriminated against by a teacher based on where i am from kindly resolve this,Harassment,Medium
the bus timings should be adjusted to match the late class schedules i need help with this,Transport,Low
hi a student was attacked in the hostel corridor and security did nothing,Hostel,High
hi hostel wifi goes off every night and i cant study,Hostel,Medium
attendance on the portal doesnt match what the teacher marked kindly resolve this,IT / Portal,Medium
it would be nice if the teacher held an extra revision session before exams no one has responded yet,Academics / Faculty,Low
a student collapsed in the hostel and there was no first aid available please look into this,Hostel,High
my friend has a nut allergy and the food was mislabeled and she had a reaction no one has responded yet,Cafeteria / Food,High
my entire semester grades disappeared from the portal after the update,IT / Portal,High
cafeteria runs out of food by 1pm and many students are left with nothing please help,Cafeteria / Food,Medium
no hot water in the hostel for the past 4 days it has been ignored for too long,Hostel,Medium
the portal should let us download our timetable as a pdf please look into this,IT / Portal,Low
portal has been down since 3 days and i cant check my timetable this needs to be fixed,IT / Portal,Medium
i keep being told to come back tomorrow every time i visit the office it has been ignored for too long,Administration,Medium
a teacher is giving better marks to students he likes and ignoring the rest of us,Harassment,Medium
the hostel entrance light is broken and it gets dark at night kindly resolve this,Hostel,Low
i keep being told to come back tomorrow every time i visit the office i need help with this,Administration,Medium
study room booking in the library is very unfair some groups book all day please help,Library,Medium
a female student was harassed by the van driver and she is scared please help,Transport,High
the bus is always too full and students are left behind at the stop it has been ignored for too long,Transport,Medium
the water coming from the tap in the hostel is brown and smells bad please look into this,Hostel,High
portal is down and i cant submit my assignment the deadline is today i need help with this,IT / Portal,High
students in the common room are very loud and disrespectful to others this needs to be fixed,Harassment,Low
class starts on time but the room is always locked and we have to wait outside i need help with this,Academics / Faculty,Low
someone sent me threatening messages saying they will hurt me if i report them kindly resolve this,Harassment,High
seating in the cafeteria is not enough students have to eat standing please help,Cafeteria / Food,Medium
i reported bullying last week but no one has followed up with me kindly resolve this,Harassment,Medium
cafeteria closes 30 minutes early and students with late classes go hungry please help,Cafeteria / Food,Medium
a grab and go option would be useful for students between classes please look into this,Cafeteria / Food,Low
hi bus seats are very uncomfortable and need to be replaced,Transport,Low
the admin office staff should be trained to be more helpful to students kindly resolve this,Administration,Low
there are no anti harassment posters anywhere on campus please look into this,Harassment,Low
the hostel roof is leaking heavily and my belongings are getting damaged please look into this,Hostel,High
i was robbed inside the library and the security cameras were not on it has been ignored for too long,Library,High
the admin office staff should be trained to be more helpful to students please look into this,Administration,Low
the cafeteria needs more seating especially during lunch time,Cafeteria / Food,Low
teacher has been absent for 2 weeks and no replacement has been arranged i need help with this,Academics / Faculty,High
the course outline on the portal does not match what is being taught it has been ignored for too long,Academics / Faculty,Low
the printer in the library has been broken for 5 days,Library,Medium
the food portions have gotten smaller but the prices are the same,Cafeteria / Food,Medium
office hour timings are not posted anywhere in the department kindly resolve this,Academics / Faculty,Low
hi my grade was changed without any reason and i never received an explanation,Academics / Faculty,High
the forms at the admin office are outdated and confusing this needs to be fixed,Administration,Low
teacher gives assignments without clear instructions on what is expected i need help with this,Academics / Faculty,Low
hostel wifi goes off every night and i cant study please help,Hostel,Medium
the washing machines in the hostel have been broken for a week please help,Hostel,Medium
i keep being told to come back tomorrow every time i visit the office please look into this,Administration,Medium
i missed a job application because the admin office delayed my transcript for 3 weeks i need help with this,Administration,High
my group members are excluding me from everything and not sharing project work kindly resolve this,Harassment,Medium
lecture slides have very small text and are hard to read please look into this,Academics / Faculty,Low
the bus has no working seatbelts and students are at risk kindly resolve this,Transport,High
hi i reported bullying last week but no one has followed up with me,Harassment,Medium
a grab and go option would be useful for students between classes i need help with this,Cafeteria / Food,Low
the food in the cafeteria smells rotten and students are still being served it please help,Cafeteria / Food,High
teacher should use more examples to explain difficult topics no one has responded yet,Academics / Faculty,Low
i was marked as expelled by mistake and i have not been to any hearing,Administration,High
it would be helpful if the canteen showed the daily menu online no one has responded yet,Cafeteria / Food,Low
a female student was harassed by the van driver and she is scared kindly resolve this,Transport,High
the paint in the hostel rooms is very old and peeling kindly resolve this,Hostel,Low
a student was threatened by the driver when she complained about his driving kindly resolve this,Transport,High
hi it would help to have the cleaning schedule posted in the hostel,Hostel,Low
bus timings during exams were changed and students missed the paper no one has responded yet,Transport,Medium
a student collapsed in the hostel and there was no first aid available please help,Hostel,High
hi the pick up point near block a is too far for students with heavy bags,Transport,Low
the library has had no electricity for 2 days and all digital access is gone this needs to be fixed,Library,High
it would be helpful if we could track the status of submitted requests online please look into this,Administration,Low
no halal options are available at the main cafeteria i need help with this,Cafeteria / Food,Medium
someone else is logged into my student account and i dont know how no one has responded yet,IT / Portal,High
the admin office staff should be trained to be more helpful to students no one has responded yet,Administration,Low
found broken plastic in my rice from the main canteen kindly resolve this,Cafeteria / Food,High
there has been no electricity in my hostel block for 2 days kindly resolve this,Hostel,High
hi it would be helpful if lectures were recorded for revision,Academics / Faculty,Low
the bus was so overcrowded a student fell and got injured please help,Transport,High
urgent i got locked out of my account and the reset email is not coming,IT / Portal,High
attendance on the portal doesnt match what the teacher marked please look into this,IT / Portal,Medium
my grade correction request has been pending for over a week it has been ignored for too long,Administration,Medium
the cafeteria needs more seating especially during lunch time i need help with this,Cafeteria / Food,Low
bus seats are very uncomfortable and need to be replaced no one has responded yet,Transport,Low
urgent the food in the cafeteria smells rotten and students are still being served it,Cafeteria / Food,High
the notice board at the admin block is never updated this needs to be fixed,Administration,Low
urgent i was accused of cheating but i didnt cheat and no investigation was done,Academics / Faculty,High
the library roof is leaking badly and water is falling on books and computers it has been ignored for too long,Library,High
hi a classmate keeps making fun of me in front of everyone and it wont stop,Harassment,Medium
a teacher is giving better marks to students he likes and ignoring the rest of us kindly resolve this,Harassment,Medium
i was wrongly charged double fees and the finance office is not responding please help,Administration,High
the canteen is very unhygienic tables are never wiped between customers no one has responded yet,Cafeteria / Food,Medium
the meat served today smelled bad and looked discolored kindly resolve this,Cafeteria / Food,High
library has been closed for 4 days without telling students why please look into this,Library,Medium
there is no clear information on campus about where to go if harassed kindly resolve this,Harassment,Low
more power sockets are needed in the hostel rooms no one has responded yet,Hostel,Low
the notice board in the hostel has very old information on it please help,Hostel,Low
the bus driver does not wait even 1 minute if students are slightly late this needs to be fixed,Transport,Medium
the teacher changes the quiz date without telling everyone please look into this,Academics / Faculty,Medium
the portal should show which assignments have been graded already this needs to be fixed,IT / Portal,Low
applied for my transcript 2 weeks ago and still havent received it,Administration,Medium
someone else is logged into my student account and i dont know how it has been ignored for too long,IT / Portal,High
it would help if teacher gave feedback on assignments not just a grade i need help with this,Academics / Faculty,Low
the portal doesnt work on my phone at all only on laptop,IT / Portal,Medium
more variety of books related to our new courses should be added i need help with this,Library,Low
the waiting area in the admin office has no chairs,Administration,Low
hi same food is being served every day for the past week,Cafeteria / Food,Medium
the hostel common room has no working fans during summer please help,Hostel,Medium
not enough seats in the library during exam season please help,Library,Medium
name correction request submitted 10 days ago and no update yet it has been ignored for too long,Administration,Medium
applied for my transcript 2 weeks ago and still havent received it i need help with this,Administration,Medium
urgent i was robbed inside the library and the security cameras were not on,Library,High
library should stay open later during exams no one has responded yet,Library,Low
urgent my grade was changed without any reason and i never received an explanation,Academics / Faculty,High
a classmate records me during lectures without my knowledge or permission i need help with this,Harassment,Medium
office hours should be extended at least during exam registration period kindly resolve this,Administration,Low
the portal deleted my submitted assignment and now its showing not submitted please look into this,IT / Portal,High
hi admin should clearly display how long each process takes,Administration,Low
the hostel generator doesnt turn on during load shedding it has been ignored for too long,Hostel,Medium
there was a small fire near the library electrical board and no one responded no one has responded yet,Library,High
it would be nice if the canteen had a quiet section for eating alone this needs to be fixed,Cafeteria / Food,Low
the portal should let us download our timetable as a pdf,IT / Portal,Low
my hostel room was given to someone else while my stuff was still in it please look into this,Hostel,Medium
the admin office should have a separate window for urgent requests,Administration,Low
there is raw sewage overflowing in the hostel bathroom area it has been ignored for too long,Hostel,High
bus timings during exams were changed and students missed the paper please help,Transport,Medium
cold food is being served as if it is freshly cooked this needs to be fixed,Cafeteria / Food,Medium
hi i heard some students making fun of a disabled student and nobody said anything,Harassment,Low
it would be nice if the canteen had a quiet section for eating alone please look into this,Cafeteria / Food,Low
the admin staff gave me wrong information about the document requirements,Administration,Medium
i was wrongly charged double fees and the finance office is not responding i need help with this,Administration,High
we have had no teacher for this subject for the past 5 days this needs to be fixed,Academics / Faculty,Medium
the meat served today smelled bad and looked discolored this needs to be fixed,Cafeteria / Food,High
hi we are being tested on topics that were never taught in class,Academics / Faculty,Medium
the font on the portal is too small and hard to read it has been ignored for too long,IT / Portal,Low
teacher should share a reading list at the start of the course please look into this,Academics / Faculty,Low
the library catalogue online is not updated with new arrivals kindly resolve this,Library,Low
the bus is always too full and students are left behind at the stop no one has responded yet,Transport,Medium
applied for my transcript 2 weeks ago and still havent received it kindly resolve this,Administration,Medium
hi more power sockets are needed in the hostel rooms,Hostel,Low
the notice board in the hostel has very old information on it it has been ignored for too long,Hostel,Low
the bus is in very bad condition with broken seats and windows no one has responded yet,Transport,Medium
the cafeteria menu should have more variety,Cafeteria / Food,Low
hi there should be a clear list of required documents displayed at the office,Administration,Low
i was wrongly charged double fees and the finance office is not responding,Administration,High
my fee receipt is not generating even though payment was successful,IT / Portal,Medium
the bus broke down at night in an empty area and we were stranded it has been ignored for too long,Transport,High
urgent the wrong exam was given to our class and our result is now in question,Academics / Faculty,High
hi the admin office staff should be trained to be more helpful to students,Administration,Low
the admin office should have a separate window for urgent requests please look into this,Administration,Low
the canteen is very unhygienic tables are never wiped between customers i need help with this,Cafeteria / Food,Medium
the cafeteria needs more seating especially during lunch time please look into this,Cafeteria / Food,Low
my visa documents were lost by the admin office and i may face deportation it has been ignored for too long,Administration,High
the hostel generator doesnt turn on during load shedding kindly resolve this,Hostel,Medium
hi the library system deleted all my saved research and thesis deadline is tomorrow,Library,High
the hostel entrance light is broken and it gets dark at night i need help with this,Hostel,Low
same food is being served every day for the past week,Cafeteria / Food,Medium
the bus driver doesnt announce stops so new students get confused it has been ignored for too long,Transport,Low
no halal options are available at the main cafeteria it has been ignored for too long,Cafeteria / Food,Medium
teacher uses very old examples that are not relevant to current topics it has been ignored for too long,Academics / Faculty,Low
teacher should share a reading list at the start of the course,Academics / Faculty,Low
the harassment reporting process is too complicated and discourages students i need help with this,Harassment,Low
urgent i am being blackmailed by a senior student and i dont know what to do,Harassment,High
my entire semester grades disappeared from the portal after the update i need help with this,IT / Portal,High
students are not informed when a bus trip is cancelled that day kindly resolve this,Transport,Medium
there should be a student support group for people who face bullying i need help with this,Harassment,Low
a teacher always singles me out and humiliates me in class,Harassment,Medium
the portal should have a dark mode option please look into this,IT / Portal,Low
urgent the admin office shared my personal information with someone outside the university,Administration,High
hi there should be a live tracker for the university bus,Transport,Low
hostel wifi goes off every night and i cant study,Hostel,Medium
hi the lights in the hostel corridor have been broken for 5 days,Hostel,Medium
teacher does not respond to emails even after several days i need help with this,Academics / Faculty,Medium
the payment portal is showing my fees as unpaid even though i paid yesterday this needs to be fixed,IT / Portal,High
a student collapsed in the hostel and there was no first aid available kindly resolve this,Hostel,High
no halal options are available at the main cafeteria please look into this,Cafeteria / Food,Medium
hi the paint in the hostel rooms is very old and peeling,Hostel,Low
the ac in the library has not worked for a week its too hot to study i need help with this,Library,Medium
a group of students physically pushed me near the parking area i need help with this,Harassment,High
the portal is not opening at all and my project submission closes in 2 hours kindly resolve this,IT / Portal,High
the library should offer headphone rentals for students please look into this,Library,Low
we are being tested on topics that were never taught in class no one has responded yet,Academics / Faculty,Medium
the lighting in some parts of the library is too dim no one has responded yet,Library,Low
the notice board in the hostel has very old information on it this needs to be fixed,Hostel,Low
the cafeteria needs better lighting it is too dim inside no one has responded yet,Cafeteria / Food,Low
the bus driver was on his phone the entire journey kindly resolve this,Transport,High
teacher uses very old examples that are not relevant to current topics this needs to be fixed,Academics / Faculty,Low
i cant update my phone number on the portal profile please help,IT / Portal,Low
the canteen should offer a student discount card kindly resolve this,Cafeteria / Food,Low
hi the university should have more awareness sessions about bullying,Harassment,Low
office hour timings are not posted anywhere in the department,Academics / Faculty,Low
urgent the meat served today smelled bad and looked discolored,Cafeteria / Food,High
a student was assaulted near the library entrance and security was absent it has been ignored for too long,Library,High
bus timings during exams were changed and students missed the paper,Transport,Medium
hi it would be nice if the teacher held an extra revision session before exams,Academics / Faculty,Low
a classmate makes rude comments about my background every day it has been ignored for too long,Harassment,Medium
admin office is only open for 2 hours a day which is very inconvenient kindly resolve this,Administration,Medium
urgent multiple students got sick after eating from the hostel canteen yesterday,Cafeteria / Food,High
the schedule shown at the stop does not match the actual timings i need help with this,Transport,Medium
teacher is not available during office hours when students need help kindly resolve this,Academics / Faculty,Medium
i enrolled in the wrong section by mistake and cant change it please look into this,IT / Portal,Medium
there is no clear information on campus about where to go if harassed no one has responded yet,Harassment,Low
library should stay open later during exams it has been ignored for too long,Library,Low
the cafeteria needs better lighting it is too dim inside please help,Cafeteria / Food,Low
hi teacher does not respond to emails even after several days,Academics / Faculty,Medium
hi more variety of books related to our new courses should be added,Library,Low
the portal shows wrong grades for two of my subjects kindly resolve this,IT / Portal,Medium
cold food is being served as if it is freshly cooked please look into this,Cafeteria / Food,Medium
the bus broke down at night in an empty area and we were stranded i need help with this,Transport,High
the library should offer headphone rentals for students it has been ignored for too long,Library,Low
hi the cooking area in the canteen has visible mold and is never cleaned,Cafeteria / Food,High
i was suspended from class without any warning or proper reason given no one has responded yet,Academics / Faculty,High
the water coming from the tap in the hostel is brown and smells bad it has been ignored for too long,Hostel,High
i saw sparks coming out of the electrical socket in my hostel room this needs to be fixed,Hostel,High
the payment portal is showing my fees as unpaid even though i paid yesterday kindly resolve this,IT / Portal,High
a classmate keeps making fun of me in front of everyone and it wont stop this needs to be fixed,Harassment,Medium
someone sent me threatening messages saying they will hurt me if i report them please help,Harassment,High
the admin office shared my personal information with someone outside the university please help,Administration,High
the forms at the admin office are outdated and confusing no one has responded yet,Administration,Low
a student was assaulted near the library entrance and security was absent this needs to be fixed,Library,High
there should be more interaction in class instead of only lecture delivery this needs to be fixed,Academics / Faculty,Low
the library was locked during announced open hours and students had no access i need help with this,Library,High
the library closes 30 minutes early and students with late classes cant use it this needs to be fixed,Library,Medium
teacher should use more examples to explain difficult topics please look into this,Academics / Faculty,Low
same food is being served every day for the past week please help,Cafeteria / Food,Medium
the lms keeps logging me out every few minutes it has been ignored for too long,IT / Portal,Medium
the canteen near block b is always closed even during official hours,Cafeteria / Food,Medium
the transport service was completely cancelled today with no notice i need help with this,Transport,High
i am being stalked by a classmate and he waits outside my class every day kindly resolve this,Harassment,High
a teacher always singles me out and humiliates me in class kindly resolve this,Harassment,Medium
the library does not have enough copies of the books on the recommended list no one has responded yet,Library,Medium
admin office lost my original certificates that i submitted last month please help,Administration,High
my grade was changed without any reason and i never received an explanation no one has responded yet,Academics / Faculty,High
the hostel canteen closes too early and night students go hungry i need help with this,Hostel,Medium
my visa documents were lost by the admin office and i may face deportation please help,Administration,High
my friend has a nut allergy and the food was mislabeled and she had a reaction kindly resolve this,Cafeteria / Food,High
a student fainted in the library due to heat and no staff came to help please help,Library,High
the food being served is clearly expired the packaging dates were scratched off this needs to be fixed,Cafeteria / Food,High
urgent the hostel roof is leaking heavily and my belongings are getting damaged,Hostel,High
the admin office should have a separate window for urgent requests this needs to be fixed,Administration,Low
hi the hostel common room needs better furniture,Hostel,Low
the library notice board is very cluttered and hard to read please look into this,Library,Low
my thesis supervisor disappeared and is not responding since 3 weeks please help,Academics / Faculty,High
the portal is not opening at all and my project submission closes in 2 hours please look into this,IT / Portal,High
my group members are excluding me from everything and not sharing project work no one has responded yet,Harassment,Medium
there is no water in the hostel since yesterday and we cant even wash kindly resolve this,Hostel,High
a student was attacked in the hostel corridor and security did nothing no one has responded yet,Hostel,High
